id,module_id,code,question_type,Text Quesiton,Image Question,questions_image,Answer,question_order_text,question_graph_content,Seq,Difficulty,points_earned,translatable,status,created_by,updated_by,deleted_by
36428,712,1134001,FIB,How many cars are there in the picture?,module1132a.png,module1132a.png,"{""type"":1,""answer"":[{""value"":3,""type"":""int""}]}",,,1,1,1,1,Enabled,,,
36429,712,1134002,FIB,How many pizzas do you see in the picture?,module1132b.png,module1132b.png,"{""type"":1,""answer"":[{""value"":3,""type"":""int""}]}",,,2,1,1,1,Enabled,,,
36430,712,1134003,FIB,How many tigers are there in the picture?,module1132c.png,module1132c.png,"{""type"":1,""answer"":[{""value"":8,""type"":""int""}]}",,,3,1,1,1,Enabled,,,
36431,712,1134004,FIB,How many lions do you see in the picture?,module1132d.png,module1132d.png,"{""type"":1,""answer"":[{""value"":6,""type"":""int""}]}",,,4,1,1,1,Enabled,,,
36432,712,1134005,FIB,How many horses are there in the picture?,module1132e.png,module1132e.png,"{""type"":1,""answer"":[{""value"":5,""type"":""int""}]}",,,5,1,1,1,Enabled,,,
36433,712,1134006,FIB,How many cars do you see in the picture?,module1132f.png,module1132f.png,"{""type"":1,""answer"":[{""value"":4,""type"":""int""}]}",,,6,1,1,1,Enabled,,,
36434,712,1134007,FIB,How many crabs are there in the picture?,module1132g.png,module1132g.png,"{""type"":1,""answer"":[{""value"":2,""type"":""int""}]}",,,7,1,1,1,Enabled,,,
36435,712,1134008,FIB,How many tigers do you see in the picture?,module1132h.png,module1132h.png,"{""type"":1,""answer"":[{""value"":18,""type"":""int""}]}",,,8,1,1,1,Enabled,,,
36436,712,1134009,FIB,How many stars are there in the picture?,module1132i.png,module1132i.png,"{""type"":1,""answer"":[{""value"":2,""type"":""int""}]}",,,9,1,1,1,Enabled,,,
36437,712,1134010,FIB,How many hexagon do you see in the picture?,module1132j.png,module1132j.png,"{""type"":1,""answer"":[{""value"":1,""type"":""int""}]}",,,10,1,1,1,Enabled,,,
36438,712,1134011,FIB,How many lions are there in the picture?,module1132k.png,module1132k.png,"{""type"":1,""answer"":[{""value"":10,""type"":""int""}]}",,,11,1,1,1,Enabled,,,
36439,712,1134012,FIB,How many cars do you see in the picture?,module1132l.png,module1132l.png,"{""type"":1,""answer"":[{""value"":5,""type"":""int""}]}",,,12,1,1,1,Enabled,,,
36440,712,1134013,FIB,How many tigers are there in the picture?,module1132m.png,module1132m.png,"{""type"":1,""answer"":[{""value"":12,""type"":""int""}]}",,,13,1,1,1,Enabled,,,
36441,712,1134014,FIB,How many hexagons do you see in the picture?,module1132n.png,module1132n.png,"{""type"":1,""answer"":[{""value"":8,""type"":""int""}]}",,,14,1,1,1,Enabled,,,
36442,712,1134015,FIB,How many circus lions are there in the picture?,module1132o.png,module1132o.png,"{""type"":1,""answer"":[{""value"":7,""type"":""int""}]}",,,15,1,1,1,Enabled,,,
36443,712,1134016,FIB,How many horses do you see in the picture?,module1132p.png,module1132p.png,"{""type"":1,""answer"":[{""value"":9,""type"":""int""}]}",,,16,1,1,1,Enabled,,,
36444,712,1134017,FIB,How many lions are there in the picture?,module1132q.png,module1132q.png,"{""type"":1,""answer"":[{""value"":15,""type"":""int""}]}",,,17,1,1,1,Enabled,,,
36445,712,1134018,FIB,How many caterpillars do you see in the picture?,module1132r.png,module1132r.png,"{""type"":1,""answer"":[{""value"":13,""type"":""int""}]}",,,18,1,1,1,Enabled,,,
36446,712,1134019,FIB,How many camels are there in the picture?,module1132s.png,module1132s.png,"{""type"":1,""answer"":[{""value"":15,""type"":""int""}]}",,,19,1,1,1,Enabled,,,
36447,712,1134020,FIB,How many stars do you see in the picture?,module1132t.png,module1132t.png,"{""type"":1,""answer"":[{""value"":16,""type"":""int""}]}",,,20,1,1,1,Enabled,,,
36448,712,1134021,FIB,How many hexagons are there in the picture?,module1132u.png,module1132u.png,"{""type"":1,""answer"":[{""value"":11,""type"":""int""}]}",,,1,2,1,1,Enabled,,,
36449,712,1134022,FIB,How many crabs do you see in the picture?,module1132v.png,module1132v.png,"{""type"":1,""answer"":[{""value"":20,""type"":""int""}]}",,,2,2,1,1,Enabled,,,
36450,712,1134023,FIB,How many horses are there in the picture?,module1132x.png,module1132x.png,"{""type"":1,""answer"":[{""value"":17,""type"":""int""}]}",,,3,2,1,1,Enabled,,,
36451,712,1134024,FIB,How many caterpillars do you see in the picture?,module1132y.png,module1132y.png,"{""type"":1,""answer"":[{""value"":14,""type"":""int""}]}",,,4,2,1,1,Enabled,,,
36452,712,1134025,FIB,How many waffles do you see in the picture?,module1132z.png,module1132z.png,"{""type"":1,""answer"":[{""value"":16,""type"":""int""}]}",,,5,2,1,1,Enabled,,,
36453,712,1134026,FIB,How many pieces of cake do you see in the picture?,module1132aa.png,module1132aa.png,"{""type"":1,""answer"":[{""value"":19,""type"":""int""}]}",,,6,2,1,1,Enabled,,,
36454,712,1134027,FIB,How many cars do you see in the picture?,module1132ab.png,module1132ab.png,"{""type"":1,""answer"":[{""value"":7,""type"":""int""}]}",,,7,2,1,1,Enabled,,,
36455,712,1134028,FIB,How many camel do you see in the picture?,module1132ac.png,module1132ac.png,"{""type"":1,""answer"":[{""value"":19,""type"":""int""}]}",,,8,2,1,1,Enabled,,,
36456,712,1134029,FIB,How many pizza do you see in the picture?,module1132ad.png,module1132ad.png,"{""type"":1,""answer"":[{""value"":6,""type"":""int""}]}",,,9,2,1,1,Enabled,,,
36457,712,1134030,FIB,How many men do you see in the picture?,module1132ae.png,module1132ae.png,"{""type"":1,""answer"":[{""value"":8,""type"":""int""}]}",,,10,2,1,1,Enabled,,,
36458,712,1134031,FIB,How many robots do you see in the picture?,module1132af.png,module1132af.png,"{""type"":1,""answer"":[{""value"":34,""type"":""int""}]}",,,11,2,1,1,Enabled,,,
36459,712,1134032,FIB,How many worms do you see in the picture?,module1132ag.png,module1132ag.png,"{""type"":1,""answer"":[{""value"":28,""type"":""int""}]}",,,12,2,1,1,Enabled,,,
36460,712,1134033,FIB,How many waffles do you see in the picture?,module1132ah.png,module1132ah.png,"{""type"":1,""answer"":[{""value"":21,""type"":""int""}]}",,,13,2,1,1,Enabled,,,
36461,712,1134034,FIB,How many tigers do you see in the picture?,module1132ai.png,module1132ai.png,"{""type"":1,""answer"":[{""value"":16,""type"":""int""}]}",,,14,2,1,1,Enabled,,,
36462,712,1134035,FIB,How many owls do you see in the picture?,module1132aj.png,module1132aj.png,"{""type"":1,""answer"":[{""value"":24,""type"":""int""}]}",,,15,2,1,1,Enabled,,,
36463,712,1134036,FIB,How many pieces of cake do you see in the picture?,module1132ak.png,module1132ak.png,"{""type"":1,""answer"":[{""value"":27,""type"":""int""}]}",,,16,2,1,1,Enabled,,,
