"DO NOT EDIT",,,
"VARIABLES","TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)","Vietnamese","Comment"
"//Field error codes",,,
1001,"Required field not found.","Không tìm thấy phạm vi yêu cầu.",
1002,"Required field empty.","Phạm vi yêu cầu trống.",
1003,"The :attribute is required.",":attribute là bắt buộc.",
1004,"The :attribute is invalid.",":attribute không hợp lệ.",
1005,"Points to :attribute must be a number.","Điểm để :attribute phải là một con số.",
1006,"The :attribute text is required.","Văn bản :attribute là bắt buộc.",
1007,"The :attribute already exists.",":attribute đã tồn tại.",
1008,"The :attribute format is invalid.","Định dạng :attribute không hợp lệ.",
1009,"The :attribute may not be greater than 10 characters.",":attribute không được nhiều hơn 10 kí tự.",
1010,"The :attribute format is incorrect.","Định dạng :attribute không đúng.",
1011,"The :attribute should not exceed 20 digits.",":attribute không nên vượt quá 20 kí tự số.",
1012,"The :attribute name is required.","Tên :attribute là bắt buộc.",
1013,"The :attribute must be a number",":attribute phải là một con số.",
1014,"The :attribute does not exist.",":attribute không tồn tại.",
1015,"Total :attribute is required","Tổng số :attribute là bắt buộc",
1016,"Total :attribute must be a number","Tổng số :attribute phải là một con số",
"//Rules messages",,,
2001,"User does not exist.","Người dùng không tồn tại.",
2002,"Email does not exist.","Email không tồn tại.",
2003,"Account does not exist.","Tài khoản không tồn tại.",
"//for student error message",,,
2004,"Username and picture password is incorrect.","Tên truy nhập và mật khẩu hình ảnh không đúng.",
2005,"Country does not exist.","Quốc gia không tồn tại.",
2006,"Confirmation code does not match.","Mã xác nhận không trùng khớp.",
2007,"Confirmation code has expired.","Mã xác nhận đã hết hạn.",
2008,"The Username or Email you entered is invalid. Please try inputting again. If the account you are attempting to login is for a student less than 14 yrs old, please login via the parent site.","Tên truy nhập hoặc email bạn vừa nhập không hợp lệ. Hãy nhập lại một lần nữa. Nếu tài khoản mà bạn cố gắng đăng nhập là dành cho học viên dưới 14 tuổi, xin vui lòng đăng nhập thông qua trang web dành cho phụ huynh.",
2009,"Avatar does not exist.","Ảnh đại diện không tồn tại.",
2010,"Parent does not exist.","Phụ huynh không tồn tại.",
2011,"Username and password is incorrect.","Tên truy nhập và mật khẩu không đúng.",
2012,"Picture password is incorrect.","Mật khẩu hình ảnh không đúng.",
2013,"Username or Email is invalid.","Tên truy nhập và email không hợp lệ.",
2014,"Your Account has been locked. Please go to the forgot password screen to reset your password.","Tài khoản của bạn đã bị khóa. Vui lòng chọn mục quên mật khẩu để đặt lại mật khẩu của bạn.",
2015,"Confirmation code is required.","Mã xác nhận là bắt buộc.",
2016,"Confirmation code should be number only.","Mã xác nhận chỉ được là chữ số.",
2017,"Picture Password is required.","Mật khẩu hình ảnh là bắt buộc.",
2018,"Username does not exist.","Tên truy nhập không tồn tại.",
2019,"Username or Email is invalid or your account has been locked. Please click forgot password to reset your password.","Tên truy nhập hay email của bạn không hợp lệ hoặc tài khoản của bạn đã bị khóa. Vui lòng nhấp chọn quên mật khẩu để đặt lại mật khẩu.",
2020,"Account is deleted.","Tài khoản đã bị xóa.",
2021,"Username is invalid.","Tên truy nhập không hợp lệ.",
2022,"The school level field is required.","Phạm vi cấp độ trường học là bắt buộc.",
2023,"The school level field should be number only.","Phạm vi cấp độ trường học chỉ được là chữ số.",
2024,"Confirmation code is invalid.","Mã xác nhận không hợp lệ.",
2025,"Reset code is required.","Mã đặt lại là bắt buộc.",
2026,"Reset code should be number only.","Mã đặt lại chỉ được là chữ số.",
2027,"Reset code is invalid.","Mã đặt lại không hợp lệ.",
2028,"The Student has to be 14 years old or above to be able to register.","Học viên phải từ 14 tuổi trở lên mới có thể đăng ký.",
2029,"Access authentication failure.","Xác thực truy cập thất bại.",
2030,"Access authorization is required.","Xác thực truy cập là bắt buộc.",
2031,"Access authorization is invalid.","Xác thực truy cập không hợp lệ.",
2032,"Unauthorized access.","Truy cập trái phép.",
2033,"Username/Email or password is invalid","Tên truy nhập/email hoặc mật khẩu không hợp lệ",
2034,"Username/Email or password is invalid. Have you verified your email? Please check your inbox. Your account may have been locked, please click on forgot password to reset your password.","Tên truy nhập/email hoặc mật khẩu không hợp lệ. Bạn đã xác nhận email của mình chưa? Vui lòng kiểm tra hộp thư đến của bạn. Tài khoản của bạn có thể đã bị khóa, vui lòng nhấp chọn quên mật khẩu để đặt lại mật khẩu. ",
2035,"Account has been locked. Please click on forgot password to reset your password.","Tài khoản đã bị khóa. Vui lòng nhấp chọn quên mật khẩu để đặt lại mật khẩu của bạn.",
