20335,15,1000341,FIB,"What is the missing number: 89, 86, ...,80, 77, 74",,,83,,,17,2,,,,,,,
20336,2,1000342,FIB,26+11=,,,37,,,18,1,,,,,,,
20337,3,1000343,FIB,55-14=,,,41,,,34,1,,,,,,,
20338,3,1000344,FIB,subtract 2 tens from 35 ones=,,,15,,,36,2,,,,,,,
20339,3,1000345,FIB,10 less than 77 is,,,67,,,37,2,,,,,,,
20340,21,1000346,FIB,write in words: 13,,,thirteen,,,34,2,,,,,,,
20341,21,1000347,FIB,write in words: 93,,,ninty three,,,35,2,,,,,,,
20342,20,1000348,O,"Arrange from smallest to greatest: 37,29,15,74",,,"15,29,37,74","37,29,15,74",,,1,,,,,,,
20343,3,1000349,FIB,73-3=….tens,,,7,,,38,2,,,,,,,
20344,26,1000350,MC,Which equation equals -10?,,,,,,19,3,,,,,,,
20345,15,1000351,MC,"Which of the four have the largest answer: 79-31, 42-2tens, 20 ones",,,,,,11,3,,,,,,,
20346,15,1000352,FIB,Sam has 7 stamps. Ken has 8 stamps. James has 10 stamps. 2 boys put their stamps into a stamp album. There are 17 stamps in the stamp album now. Which 2 boys put their stamps in the album?,,,"sam,james",,,12,3,,,,,,,
20347,15,1000353,FIB,Simon had 50 erasers. Elliot gave him 13 erasers. How many erasers does Simon have now?,,,63,,,13,3,,,,,,,
20348,15,1000354,FIB,Sammy had 32 eggs. She used 12 eggs to bake cookies with her mom. How many eggs does she have left?,cookies.jpg,cookies.jpg,20,,,14,3,,,,,,,
20349,15,1000355,FIB,wilfred has 30 stickers. Jane has 3 fewer stickers than wilfred. How many stickers does jake have?,,,27,,,15,3,,,,,,,
20350,15,1000356,FIB,Sarah has 37 pens. 6 of the pens are blue and the rest are yellow. How many of the pens are yellow?,,,31,,,16,3,,,,,,,
20351,15,1000357,FIB,Edward has 35 ballons and Sara has 24 ballons. sara has 10 more ballons than lenny. How many ballons does lenny have?,,,14,,,17,3,,,,,,,
20352,15,1000358,FIB,Peter has 35 ballons and sara has 24 ribbons. Carol has 10 more ribbons than lenny. How many more ribbons than does Peter have than Carol?,,,11,,,18,3,,,,,,,
20353,2,1000359,FIB,59+31=,,,90,,,19,1,,,,,,,
20354,3,1000360,FIB,63-23=,,,40,,,35,1,,,,,,,
20355,2,1000361,FIB,I am number between 20 and 30. if you add 6 to me the number will be 32. I am ...,,,26,,,26,3,,,,,,,
20356,3,1000362,FIB,6 less than 84 is….,,,78,,,36,1,,,,,,,
20357,15,1000363,FIB,"What is the missing number in this series: 23,21,19,…,15,13,11,9",,,17,,,16,1,,,,,,,
20358,1,1000364,MC,"choose the set with the smallest answer: 12+18, 54+17, 89-74",,,,,,44,2,,,,,,,
20359,2,1000365,MC,Which equation adds up to 62?,,,,,,21,2,,,,,,,
20360,2,1000366,MC,Which equation adds up to 86?,,,,,,22,2,,,,,,,
20361,20,1000367,MC,"From the following series of numbers: 25,42,15. Which has the smallest value?",,,,,,,2,,,,,,,
20362,20,1000368,MC,"From the following numbers: 90,42,62. Which is the largest value?",,,,,,,2,,,,,,,
20363,11,1000369,FIB,"Of the numbers listed, 25,80,50,13,62. Which is smaller than 62 but greater than 25?",,,50,,,25,3,,,,,,,
20364,11,1000370,FIB,Paul has 19 toys. James has 14 fewer toys. How many toys does John have?,,,5,,,23,2,,,,,,,
20365,11,1000371,FIB,Mrs Anwar gave out 2 stars for every 10 correct answers for a mathematics test. Amy had 40 questions correct in the test. How many stars did Mrs Anwar give Amy?,,,8,,,26,3,,,,,,,
20366,11,1000372,FIB,Ahmad has 22 marbles. Jane has 16 marbles. How many more marbles does ahmad have than jane?,,,6,,,,,,,,,,,
20367,11,1000373,FIB,Sulin had 19 stickers in album. She gave 8 stickers to her brother. How many stickers does she have now?,,,11,,,27,3,,,,,,,
20368,11,1000374,FIB,Farrah bought 12 mangoes. Ahmad bought 6 more mangoes than Farrah. How many mangoes did Ahmad buy?,,,18,,,28,3,,,,,,,
20369,13,1000375,FIB,Daniel wants to buy a pair of school shoes that costs $18. He has $7. how much more money does he need?,,,$11,,,11,3,,,,,,,
20370,13,1000376,FIB,Devi has 30$ left after paying for bar of choclate (65$). How much money did she have at first?,,,95$,,,12,3,,,,,,,
20371,21,1000377,FIB,write in words : 7,,,seven,,,36,2,,,,,,,
20372,11,1000378,FIB,1 more than 3 is,,,4,,,7,1,,,,,,,
20373,11,1000379,FIB,1 less than 5 is,,,4,,,8,1,,,,,,,
20374,15,1000380,MC,"What is the missing number: 7,….,9,10",,,,,,17,1,,,,,,,
20375,15,1000381,MC,"What is the missing number: 4,3,...,1",,,,,,18,1,,,,,,,
20376,2,1000382,FIB,3+9=…,,,12,,,20,1,,,,,,,
20377,2,1000383,FIB,…+0=6,,,6,,,21,1,,,,,,,
20378,3,1000384,FIB,9-5=…,,,4,,,37,1,,,,,,,
20379,3,1000385,FIB,10-…=4,,,6,,,38,1,,,,,,,
20380,11,1000386,FIB,"The greatest number from 56,72,88,64 is…",,,88,,,24,2,,,,,,,
20381,11,1000387,MC,"from 56,72,99, which number is greater than 60 but smaller than 74?",,,,,,25,2,,,,,,,
20382,15,1000388,FIB,what is 7 tens 18 ones?,,,88,,,19,1,,,,,,,
20383,15,1000389,FIB,34+52=8 tens….ones,,,6,,,20,1,,,,,,,
20384,21,1000390,FIB,write the number: forty-nine,,,49,,,37,2,,,,,,,
20385,21,1000391,FIB,write the number: seventy-five,,,75,,,38,2,,,,,,,
20386,21,1000392,FIB,write the number in words: 98,,,ninty eight,,,39,2,,,,,,,
