"DO NOT EDIT",,"Arabic"
"VARIABLES","TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)",
"//Field error codes",,
1001,"Required field not found.","الحقل المطلوب غير موجود."
1002,"Required field empty.","الحقل المطلوب فارغ."
1003,"The :attribute is required.","الـ :attribute مطلوبة. "
1004,"The :attribute is invalid.","الـ :attribute غير صحيحة.  "
1005,"Points to :attribute must be a number.","النقاط لـ :attribute يجب أن تكون رقم. "
1006,"The :attribute text is required.","الـ :attribute نص مطلوب. "
1007,"The :attribute already exists.","الـ :attribute موجود مسبقا. "
1008,"The :attribute format is invalid.","الـ :attribute صيغة غير صحيح. "
1009,"The :attribute may not be greater than 10 characters.","الـ :attribute لا يمكن ان تكون أكبر من 10 حروف. "
1010,"The :attribute format is incorrect.","الـ :attribute غير صحيحة.  "
1011,"The :attribute should not exceed 20 digits.","الـ :attribute لا يجب أن يتعدى 20 رقم. "
1012,"The :attribute name is required.","الـ :attribute اسم مطلوب. "
1013,"The :attribute must be a number","الـ :attribute يجب أن يكون رقم. "
1014,"The :attribute does not exist.","الـ :attribute غير موجود. "
1015,"Total :attribute is required","الإجمالي :attribute مطلوب"
1016,"Total :attribute must be a number","الإجمالي :attribute يجب أن يكون رقم. "
"//Rules messages",,
2001,"User does not exist.","المستخدم غير موجود."
2002,"Email does not exist.","البريد الإلكتروني غير موجود."
2003,"Account does not exist.","الحساب غير موجود."
"//for student error message",,
2004,"Username and picture password is incorrect.","اسم المستخدم وكلمة مرور الصورة غير صحيحة. "
2005,"Country does not exist.","الدولة غير موجودة. "
2006,"Confirmation code does not match.","رمز التأكيد غير متطابق. "
2007,"Confirmation code has expired.","انتهت صلاحية رمز التأكيد."
