"DO NOT EDIT",,
"VARIABLES","TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)",
"//Field error codes",,
1001,"Required field not found.","Bidang yang dibutuhkan tidak ditemukan."
1002,"Required field empty.","Bidang yang dibutuhkan kosong."
1003,"The :attribute is required.",":attribute dibutuhkan"
1004,"The :attribute is invalid.",":attribute tidak valid."
1005,"Points to :attribute must be a number.","Poin untuk :attribute harus dalam bentuk angka."
1006,"The :attribute text is required.","Teks untuk :attribute dibutuhkan"
1007,"The :attribute already exists.",":attribute telah ada."
1008,"The :attribute format is invalid.","Format :attribute tidak valid."
1009,"The :attribute may not be greater than 10 characters.",":attribute tidak boleh lebih dari 10 karakter."
1010,"The :attribute format is incorrect.","Format :attribute tidak benar."
1011,"The :attribute should not exceed 20 digits.",":attribute tidak boleh lebih dari 20 angka."
1012,"The :attribute name is required.","Nama :attribute dibutuhkan"
1013,"The :attribute must be a number",":attribute harus dalam bentuk angka."
1014,"The :attribute does not exist.",":attribute tidak ada."
1015,"Total :attribute is required","Total :attribute dibutuhkan"
1016,"Total :attribute must be a number","Total :attribute harus dalam bentuk angka."
"//Rules messages",,
2001,"User does not exist.","Pengguna tidak ada."
2002,"Email does not exist.","Email tidak ada."
2003,"Account does not exist.","Akun tidak ada."
"//for student error message",,
2004,"Username and picture password is incorrect.","Nama pengguna dan gambar sandi tidak benar."
2005,"Country does not exist.","Negara tidak ada."
2006,"Confirmation code does not match.","Kode konfirmasi tidak cocok."
2007,"Confirmation code has expired.","Kode konfirmasi telah kadaluarsa."
2008,"The Username or Email you entered is invalid. Please try inputting again. If the account you are attempting to login is for a student less than 14 yrs old, please login via the parent site.","Nama pengguna atau Email anda tidak valid. Silakan masuk kembali. Apabila Anda menggunakan akun untuk murid dibawah 14 tahun, silakan login melalui situs orang tua."
2009,"Avatar does not exist.","Avatar tidak ada."
2010,"Parent does not exist.","orang tua tidak ada."
2011,"Username and password is incorrect.","Nama pengguna dan kata sandi tidak benar."
2012,"Picture password is incorrect.","Gambar sandi tidak benar."
2013,"Username or Email is invalid.","Nama pengguna atau Email tidak valid."
2014,"Your Account has been locked. Please go to the forgot password screen to reset your password.","Akun anda telah terkunci. Silakan menuju laman Lupa Kata Sandi untuk reset kata sandi anda."
2015,"Confirmation code is required.","Kode konfirmasi dibutuhkan"
2016,"Confirmation code should be number only.","Kode konfirmasi harus dalam bentuk angka."
2017,"Picture Password is required.","Gambar sandi dibutuhkan"
2018,"Username does not exist.","Nama pengguna tidak ada"
2019,"Username or Email is invalid or your account has been locked. Please click forgot password to reset your password.","Nama pengguna atau email tidak valid atau akun Anda telah terkunci. Silakan klik Lupa Kata Sandi untuk reset kata sandi Anda."
2020,"Account is deleted.","Akun telah terhapus"
2021,"Username is invalid.","Nama pengguna tidak valid."
2022,"The school level field is required.","Tingkat sekolah dibutuhkan."
2023,"The school level field should be number only.","Tingkat sekolah harus dalam bentuk angka."
2024,"Confirmation code is invalid.","Kode konfirmasi tidak valid+C70."
2025,"Reset code is required.","Kode reset dibutuhkan."
2026,"Reset code should be number only.","Kode reset harus dalam bentuk angka."
2027,"Reset code is invalid.","Kode reset tidak benar"
2028,"The Student has to be 14 years old or above to be able to register.","Untuk mendaftar, murid harus berusia diatas 14 tahun"
2029,"Access authentication failure.","Akses otentikasi gagal."
2030,"Access authorization is required.","Akses otentikasi dibutuhkan."
2031,"Access authorization is invalid.","Akses otentikasi tidak benar."
2032,"Unauthorized access.","Akses tak terotorisasi"
2033,"Username/Email or password is invalid","Nama pengguna/Email atau kata sandi tidak valid."
2034,"Username/Email or password is invalid. Have you verified your email? Please check your inbox. Your account may have been locked, please click on forgot password to reset your password.","Nama pengguna/Email atau kata sandi tidak valid. Apakah Anda telah memverifikasi email anda ? Silakan periksa inbox anda. Akun anda mungkin telah terkunci, silakan klik di Lupa kata sandi untuk reset kata sandi anda."
2035,"Account has been locked. Please click on forgot password to reset your password.","Akun telah terkunci. Silakan klik di lupa kata sandi untuk reset kata sandi anda."
2036,"Client has active transaction.","Klien memiliki transaksi aktif"
2037,"Student has an existing subscription.","Murid telah memiliki subskripsi"
2038,"No student added.","Tidak ada penambahan murid"
2039,"Student is not associated to the parent.","Murid tidak berhubungan dengan orang tua."
2040,"Student already exist.","Murid sudah ada"
2042,"Student has already rated this help request answer.","Murid telah menilai jawaban permintaan bantuan ini"
2043,"Student cannot rate his/her own help request answer.","Murid tidak bisa menilai jawaban permintaan bantuan sendiri."
2044,"The Postal Code format is invalid.","Format kode pos tidak valid"
2045,"The Postal Code may not be greater than 10 characters.","Kode pos tidak boleh lebih dari 10 karakter."
2046,"The contact number should not exceed 20 digits.","Nomor kontak tidak bole lebih dari 20 angka."
2049,"Account has already been registered.","Akun telah terdaftar."
2050,"Student has an active subscription.","Murid memiliki subskrips aktif."
2051,"Class has already ended.","Kelas telah berakhir"
2052,"No Image","Tidak ada gambar"
