"DO NOT EDIT",,,,,
"VARIABLES","TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)",,,,
"//Field error codes",,"//รหัสขอบข่ายความผิดพลาด",,,
1001,"Required field not found.","ไม่พบขอบข่ายที่ต้องการ",,,
1002,"Required field empty.","ขอบข่ายที่ต้องการว่างเปล่า",,,
1003,"The :attribute is required.",":attribute ต้องการการระบุคุณสมบัติ",,,"** in Thai .. ""The"" doesn't has meaning "
1004,"The :attribute is invalid.",":attribute คุณสมบัติผิดพลาด",,,
1005,"Points to :attribute must be a number.","ชี้ไปที่ :attribute ต้องมีคุณสมบัติเป็นตัวเลข",,,
1006,"The :attribute text is required.",":attribute ต้องการคุณสมบัติของข้อความ",,,
1007,"The :attribute already exists.",":attribute มีการระบุคุณสมบัติแล้ว",,,
1008,"The :attribute format is invalid.",":attribute รูปแบบของคุณสมบัติผิดพลาด",,,
1009,"The :attribute may not be greater than 10 characters.",":attribute ต้องมีคุณสมบัติไม่เกิน 10 ตัวอักษร",,,
1010,"The :attribute format is incorrect.",":attribute คุณสมบัติผิดพลาด",,,
1011,"The :attribute should not exceed 20 digits.",":attribute รูปแบบของคุณสมบัติไม่ถูกต้อง",,,
1012,"The :attribute name is required.",":attribute ควรมีคุณสมบัติไม่เกิน 20 หลัก",,,
1013,"The :attribute must be a number",":attribute ควรมีคุณสมบัติเป็นตัวเลข",,,
1014,"The :attribute does not exist.",":attribute ไม่ปรากฏการระบุคุณสมบัติ",,,
1015,"Total :attribute is required","ภาพรวม :attribute ต้องการการระบุคุณสมบัติ",,,
1016,"Total :attribute must be a number","ภาพรวม :attribute ต้องมีคุณสมบัติเป็นตัวเลข",,,
"//Rules messages",,"//ข้อความเกี่ยวกับข้อบังคับ",,,
2001,"User does not exist.","ไม่มีผู้ใช่งานดังกล่าวในระบบ",,,
2002,"Email does not exist.","ไม่มีอีเมลล์ดังกล่าวในระบบ",,,
2003,"Account does not exist.","ไม่มีบัญชีดังกล่าวในระบบ",,,
"//for student error message",,"//รายงานความผิดพลาดเกี่ยวกับผู้เรียน",,,
2004,"Username and picture password is incorrect.","ชื่อผู้ใช้งานและรหัสภาพไม่ถูกต้อง",,,
2005,"Country does not exist.","ไม่มีชื่อประเทศดังกล่าว",,,
2006,"Confirmation code does not match.","รหัสยืนยันไม่ตรงกัน",,,
2007,"Confirmation code has expired.","รหัสยืนยันหมดอายุ",,,
2008,"The Username or Email you entered is invalid. Please try inputting again. If the account you are attempting to login is for a student less than 14 yrs old, please login via the parent site.",,,,
2009,"Avatar does not exist.","ไม่ปรากฏว่ามีรูปตัวแทน",,,
2010,"Parent does not exist.","ไม่ปรากฏผู้ปกครอง",,,
2011,"Username and password is incorrect.","ชื่อผู้ใช้และรหัสผ่านไม่ถูกต้อง",,,
2012,"Picture password is incorrect.","รหัสภาพไม่ถูกต้อง",,,
2013,"Username or Email is invalid.","ชื่อผู้ใช้หรืออีเมลล์ไม่ถูกต้อง",,,
2014,"Your Account has been locked. Please go to the forgot password screen to reset your password.","บัญชีของคุณถูกระงับ กรุณาไปที่ ลืมรหัสผ่าน บนหน้าจอเพื่อตั้งรหัสผ่านใหม่",,,
2015,"Confirmation code is required.","ต้องการรหัสยืนยัน",,,
2016,"Confirmation code should be number only.","รหัสยืนยันต้องเป็นตัวเลขเท่านั้น",,,
2017,"Picture Password is required.","ต้องการรหัสภาพ",,,
2018,"Username does not exist.","ไม่มีปรากฏชื่อผู้ใช้งาน",,,
2019,"Username or Email is invalid or your account has been locked. Please click forgot password to reset your password.","ชื่อผู้ใช้งานหรืออีเมลล์ไม่ถูกต้องหรือบัญชีของคุณถูกระงับ โปรดคลิ๊ก ลืมรหัสผ่าน เพื่อตั้งค่ารหัสผ่านใหม่",,,
2020,"Account is deleted.","บัญชีได้ถูกลบไปแล้ว",,,
2021,"Username is invalid.","ชื่อผู้ใช้งานไม่ถูกต้อง",,,
2022,"The school level field is required.","ต้องการระดับเขตของโรงเรียน",,,
2023,"The school level field should be number only.","ระดับเขตของโรงเรียนต้องเป็นตัวเลขเท่านั้น",,,
2024,"Confirmation code is invalid.","รหัสยืนยันไม่ถูกต้อง",,,
2025,"Reset code is required.","ต้องการรหัสตั้งค่าใหม่",,,
2026,"Reset code should be number only.","รหัสตั้งค่าใหม่ควรเป็นตัวเลขเท่านั้น",,,
2027,"Reset code is invalid.","รหัสตั้งค่าใหม่ไม่ถูกต้อง",,,
2028,"The Student has to be 14 years old or above to be able to register.","ผู้เรียนต้องมีอายุมากกว่า 14 ปีขึ้นไปจึงจะสามารถสมัครสมาชิกได้",,,
2029,"Access authentication failure.","การเข้าถึงการรับรองล้มเหลว",,,
2030,"Access authorization is required.","ต้องการเข้าถึงการรับรอง",,,
2031,"Access authorization is invalid.","การเข้าถึงการรับรองผิดพลาด",,,
2032,"Unauthorized access.","เข้าถึงการรับรองแล้ว",,,
2033,"Username/Email or password is invalid","ชื่อผู้ใช้งาน/อีเมลล์ หรือ รหัสผ่านไม่ถูกต้อง",,,
