"DO NOT EDIT",,
"VARIABLES","TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)",
"//Field error codes",,
1001,"Required field not found.","Medan yang diperlukan tidak dapat dijumpai."
1002,"Required field empty.","Medan yang diperlukan kosong."
1003,"The :attribute is required.",":attribute diperlukan"
1004,"The :attribute is invalid.",":attribute tidak sah."
1005,"Points to :attribute must be a number.","Mata untuk :attribute mestilah merupakan satu nombor."
1006,"The :attribute text is required.","Teks :attribute diperlukan."
1007,"The :attribute already exists.",":attribute telah wujud."
1008,"The :attribute format is invalid.","Format :attribute tidak sah."
1009,"The :attribute may not be greater than 10 characters.",":attribute tidak boleh melebihi 10 aksara. "
1010,"The :attribute format is incorrect.","Format :attribute tidak betul."
1011,"The :attribute should not exceed 20 digits.",":attribute seharusnya tidak melebihi 20 aksara. "
1012,"The :attribute name is required.","Nama :attribute diperlukan."
1013,"The :attribute must be a number",":attribute mesti merupakan satu nombor."
1014,"The :attribute does not exist.",":attribute tidak wujud."
1015,"Total :attribute is required","Jumlah :attribute diperlukan."
1016,"Total :attribute must be a number","Jumlah :attribute mesti merupakan satu nombor."
"//Rules messages",,
2001,"User does not exist.","Pengguna tidak wujud."
2002,"Email does not exist.","E-mel tidak wujud."
2003,"Account does not exist.","Akaun tidak wujud."
"//for student error message",,
2004,"Username and picture password is incorrect.","Nama pengguna dan kata laluan gambar tidak betul."
2005,"Country does not exist.","Negara tidak wujud."
2006,"Confirmation code does not match.","Kod pengesahan tidak sepadan."
2007,"Confirmation code has expired.","Kod pengesahan telah luput."
2008,"The Username or Email you entered is invalid. Please try inputting again. If the account you are attempting to login is for a student less than 14 yrs old, please login via the parent site.","Nama Pengguna atau E-mel yang anda masukkan tidak sah. Sila cuba masukkan sekali lagi. Jika akaun yang anda sedang mencuba untuk melog masuk adalah untuk pelajar yang kurang daripada 14 tahun, sila log masuk melalui laman induk."
2009,"Avatar does not exist.","Avatar tidak wujud."
2010,"Parent does not exist.","Ibu Bapa tidak wujud."
2011,"Username and password is incorrect.","Nama pengguna dan kata laluan tidak betul."
2012,"Picture password is incorrect.","Kata laluan gambar tidak betul."
2013,"Username or Email is invalid.","Nama Pengguna atau E-mel tidak sah."
2014,"Your Account has been locked. Please go to the forgot password screen to reset your password.","Akaun anda telah dikuncikan. Sila pergi ke skrin lupa kata laluan untuk tetapkan kata laluan anda semula. "
2015,"Confirmation code is required.","Kod pengesahan diperlukan."
2016,"Confirmation code should be number only.","Kod pengesahan hendaklah terdiri daripada nombor sahaja."
2017,"Picture Password is required.","Kata Laluan Gambar diperlukan."
2018,"Username does not exist.","Nama pengguna tidak wujud."
2019,"Username or Email is invalid or your account has been locked. Please click forgot password to reset your password.","Nama Pengguna atau E-mel tidak sah atau akaun anda telah dikunci. Sila klik pada terlupa kata laluan untuk menetapkan semula kata laluan anda."
2020,"Account is deleted.","Akaun sudah dipadamkan."
2021,"Username is invalid.","Nama pengguna tidak sah."
2022,"The school level field is required.","Medan peringkat sekolah diperlukan."
2023,"The school level field should be number only.","Medan peringkat sekolah harus terdiri daripada nombor sahaja."
2024,"Confirmation code is invalid.","Kod pengesahan tidak sah."
2025,"Reset code is required.","Kod penetapan semula diperlukan."
2026,"Reset code should be number only.","Kod penetapan semula harus terdiri daripada  nombor sahaja."
2027,"Reset code is invalid.","Kod penetapan semula tidak sah."
2028,"The Student has to be 14 years old or above to be able to register.","Pelajar perlu berusia 14 tahun atau ke atas untuk mendaftar."
2029,"Access authentication failure.","Kegagalan pengesahan akses."
2030,"Access authorization is required.","Kebenaran akses diperlukan."
2031,"Access authorization is invalid.","Kebenaran akses tidak sah."
2032,"Unauthorized access.","Akses tanpa kebenaran. "
2033,"Username/Email or password is invalid","Nama Pengguna / E-mel atau kata laluan tidak sah"
2034,"Username/Email or password is invalid. Have you verified your email? Please check your inbox. Your account may have been locked, please click on forgot password to reset your password.","Nama Pengguna / E-mel atau kata laluan tidak sah. Adakah anda telah mengesahkan e-mel anda? Sila semak peti masuk anda. Akaun anda mungkin telah dikunci, sila klik pada terlupa kata laluan untuk menetapkan semula kata laluan anda."
2035,"Account has been locked. Please click on forgot password to reset your password.","Akaun telah dikunci. Sila klik pada terlupa kata laluan untuk menetapkan semula kata laluan anda."
2036,"Client has active transaction.","Pelanggan mempunyai transaksi aktif."
2037,"Student has an existing subscription.","Pelajar mempunyai langganan yang sedia ada."
2038,"No student added.","Tiada pelajar yang ditambah."
2039,"Student is not associated to the parent.","Pelajar tidak dikaitkan dengan ibu bapa."
2040,"Student already exist.","Pelajar telah wujud."
2042,"Student has already rated this help request answer.","Pelajar telah menilai jawapan permintaan bantuan ini."
2043,"Student cannot rate his/her own help request answer.","Pelajar tidak boleh menilai jawapan permintaan bantuan dia."
2044,"The Postal Code format is invalid.","Format Poskod tidak sah."
2045,"The Postal Code may not be greater than 10 characters.","Poskod tidak boleh melebihi 10 aksara."
2046,"The contact number should not exceed 20 digits.","Nombor hubungan tidak seharusnya melebihi 20 digit."
2049,"Account has already been registered.","Akaun telah didaftarkan."
2050,"Student has an active subscription.","Pelajar mempunyai langganan aktif."
2051,"Class has already ended.","Kelas sudah ditamatkan"
